ID,Class of Spike-Binding Protein,Spike-Binding Protein,Barnes Class,Chains (If Combination),Complex Name,Resolution,Title,Released,DOI,Notes
6W41,Antibody,CR3022,4,,6W41_1,3.084,Crystal structure of SARS-CoV-2 receptor binding domain in complex with human antibody CR3022,3/25/2020,10.1126/science.abb7269,
6WPS,Antibody,S309,3,,6WPS_1;6WPS_2;6WPS_3,"3.1, 3.1",Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment,5/27/2020,10.1038/s41586-020-2349-y,
6WPT,Antibody,S309,3,,6WPT_1;6WPT_2,"3.7, 3.7",Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment (open state),5/27/2020,10.1038/s41586-020-2349-y,
6XC2,Antibody,CC12.1,1,,6XC2_1;6XC2_2,3.112,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CC12.1,7/8/2020,10.1126/science.abd2321,
6XC3,Antibody,CC12.1,1,"A,B",6XC3_1,2.698,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022,7/8/2020,10.1126/science.abd2321,
6XC3,Antibody,CR3022,4,"H,L",6XC3_2,2.698,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022,7/8/2020,10.1126/science.abd2321,
6XC4,Antibody,CC12.3,1,,6XC4_1;6XC4_2,2.341,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CC12.3,7/8/2020,10.1126/science.abd2321,
6XC7,Antibody,CC12.3,1,"C,D",6XC7_1,2.883,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.3 and CR3022,7/8/2020,10.1126/science.abd2321,
6XC7,Antibody,CR3022,4,"H,L",6XC7_2,2.883,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.3 and CR3022,7/8/2020,10.1126/science.abd2321,
6XCM,Antibody,C105,1,,6XCM_1;6XCM_2,3.42,Structure of the SARS-CoV-2 spike glycoprotein in complex with the C105 neutralizing antibody Fab fragment (state 1),7/1/2020,10.1016/j.cell.2020.06.025,
6XCN,Antibody,C105,1,,6XCN_1;6XCN_2;6XCN_3,3.66,Structure of the SARS-CoV-2 spike glycoprotein in complex with the C105 neutralizing antibody Fab fragment (state 2),7/1/2020,10.1016/j.cell.2020.06.025,
6XDG,Antibody,REGN10933,1,"B,D",6XDG_1,3.9,Complex of SARS-CoV-2 receptor binding domain with the Fab fragments of two neutralizing antibodies,6/24/2020,10.1126/science.abd0827,class disagreement (2)
6XDG,Antibody,REGN10987,3,"A,C",6XDG_2,3.9,Complex of SARS-CoV-2 receptor binding domain with the Fab fragments of two neutralizing antibodies,6/24/2020,10.1126/science.abd0827,
6XE1,Antibody,CV30,1,,6XE1_1,2.75,"Structure of SARS-CoV-2 spike protein receptor binding domain in complex with a potent neutralizing antibody, CV30 Fab",7/1/2020,10.1101/2020.06.12.148692,
6XEY,Antibody,4-Feb,,,6XEY_1;6XEY_2;6XEY_3,3.25,Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-4,7/22/2020,10.1038/s41586-020-2571-7,
6XKP,Antibody,CV07-270,3,,6XKP_1;6XKP_2,2.72,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CV07-270,10/14/2020,10.1016/j.cell.2020.09.049,
6XKQ,Antibody,CV07-250,2,,6XKQ_1,2.55,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CV07-250,10/14/2020,10.1016/j.cell.2020.09.049,
6YLA,Antibody,CR3022,4,,6YLA_1;6YLA_2,2.42,Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab,4/15/2020,10.1016/j.chom.2020.06.010,
6YM0,Antibody,CR3022,4,,6YM0_1,4.36,Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab (crystal form 1),4/29/2020,10.1016/j.chom.2020.06.010,
6YOR,Antibody,CR3022,4,,6YOR_1;6YOR_2,"3.3, 3.9",Structure of the SARS-CoV-2 spike S1 protein in complex with CR3022 Fab,4/29/2020,10.1016/j.chom.2020.06.010,
6YZ5,Nanobody/Sybody,H11-D4,2,,6YZ5_1,1.8,H11-D4 complex with SARS-CoV-2 RBD,6/3/2020,,
6YZ7,Antibody,CR3022,4,"BBB,CCC,HHH,LLL",6YZ7_1;6YZ7_2,3.3,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",6/3/2020,,
6YZ7,Nanobody/Sybody,H11-D4,2,"DDD,FFF",6YZ7_3;6YZ7_4,3.3,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",6/3/2020,,
6Z2M,Antibody,CR3022,4,"B,C,H,L",6Z2M_1;6Z2M_3,2.71,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",6/3/2020,,
6Z2M,Nanobody/Sybody,H11-D4,2,"D,F",6Z2M_2;6Z2M_4,2.71,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",6/3/2020,,
6Z43,Nanobody/Sybody,H11-D4,2,,6Z43_1;6Z43_2;6Z43_3,3.3,Cryo-EM Structure of SARS-CoV-2 Spike : H11-D4 Nanobody Complex,6/3/2020,,
6ZBP,Nanobody/Sybody,H11-H4,2,,6ZBP_1,1.85,H11-H4 complex with SARS-CoV-2,7/29/2020,,
6ZCZ,Antibody,EY6A,4,"H,L",6ZCZ_2,2.65,Crystal structure of receptor binding domain of SARS-CoV-2 Spike glycoprotein in ternary complex with EY6A Fab and a nanobody.,6/24/2020,10.1038/s41594-020-0480-y,Mutant Spike
6ZCZ,Nanobody/Sybody,H11-H4,2,F,6ZCZ_1,2.65,Crystal structure of receptor binding domain of SARS-CoV-2 Spike glycoprotein in ternary complex with EY6A Fab and a nanobody.,6/24/2020,10.1038/s41594-020-0480-y,Mutant Spike
6ZDG,Antibody,EY6A,4,,6ZDG_1;6ZDG_2;6ZDG_3,4.7,Association of three complexes of largely structurally disordered Spike ectodomain with bound EY6A Fab,7/29/2020,10.1038/s41594-020-0480-y,
6ZDH,Antibody,EY6A,4,,6ZDH_1;6ZDH_2;6ZDH_3,3.7,SARS-CoV-2 Spike glycoprotein in complex with a neutralizing antibody EY6A Fab,7/1/2020,10.1038/s41594-020-0480-y,
6ZER,Antibody,EY6A,4,,6ZER_1;6ZER_2;6ZER_3,3.8,Crystal structure of receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with EY6A Fab,6/24/2020,10.1038/s41594-020-0480-y,
6ZFO,Antibody,EY6A,4,,6ZFO_1;6ZFO_2,4.4,Association of two complexes of largely structurally disordered Spike ectodomain with bound EY6A Fab,7/8/2020,10.1038/s41594-020-0480-y,
