ID,Title,Released,Class of Spike-Binding Protein,Ab/Nb,Chains (If Cocktail),Model Name,Resolution,Cocktail (2+ Different Ab/Nb/Sb),Domain Target on Spike,DOI
6W41,Crystal structure of SARS-CoV-2 receptor binding domain in complex with human antibody CR3022,2020-03-25,Antibody,CR3022,,6W41_1,3.084,No,RBD,10.1126/science.abb7269
6WPS,Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment,2020-05-27,Antibody,S309,,6WPS_1;6WPS_2;6WPS_3,"3.1, 3.1",No,,10.1038/s41586-020-2349-y
6WPT,Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment (open state),2020-05-27,Antibody,S309,,6WPT_1;6WPT_2,"3.7, 3.7",No,,10.1038/s41586-020-2349-y
6XC2,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CC12.1,2020-07-08,Antibody,CC12.1,,6XC2_1;6XC2_2,3.112,No,RBD,10.1126/science.abd2321
6XC3,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022,2020-07-08,Antibody,CC12.1,"A,B",6XC3_1,2.698,Yes,RBD,10.1126/science.abd2321
6XC3,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022,2020-07-08,Antibody,CR3022,"H,L",6XC3_2,2.698,Yes,RBD,10.1126/science.abd2321
6XC4,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CC12.3,2020-07-08,Antibody,CC12.3,,6XC4_1;6XC4_2,2.341,No,RBD,10.1126/science.abd2321
6XC7,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.3 and CR3022,2020-07-08,Antibody,CC12.3,"C,D",6XC7_1,2.883,Yes,RBD,10.1126/science.abd2321
6XC7,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.3 and CR3022,2020-07-08,Antibody,CR3022,"H,L",6XC7_2,2.883,Yes,RBD,10.1126/science.abd2321
6XCM,Structure of the SARS-CoV-2 spike glycoprotein in complex with the C105 neutralizing antibody Fab fragment (state 1),2020-07-01,Antibody,C105,,6XCM_1;6XCM_2,3.42,No,,10.1016/j.cell.2020.06.025
6XCN,Structure of the SARS-CoV-2 spike glycoprotein in complex with the C105 neutralizing antibody Fab fragment (state 2),2020-07-01,Antibody,C105,,6XCN_1;6XCN_2;6XCN_3,3.66,No,,10.1016/j.cell.2020.06.025
6XDG,Complex of SARS-CoV-2 receptor binding domain with the Fab fragments of two neutralizing antibodies,2020-06-24,Antibody,REGN10933,"B,D",6XDG_1,3.9,Yes,RBD,10.1126/science.abd0827
6XDG,Complex of SARS-CoV-2 receptor binding domain with the Fab fragments of two neutralizing antibodies,2020-06-24,Antibody,REGN10987,"A,C",6XDG_2,3.9,Yes,RBD,10.1126/science.abd0827
6XE1,"Structure of SARS-CoV-2 spike protein receptor binding domain in complex with a potent neutralizing antibody, CV30 Fab",2020-07-01,Antibody,CV30,,6XE1_1,2.75,No,RBD,10.1101/2020.06.12.148692
