model,antibody,method,constraint,variant,base strain,7T9L_1,7T9K_1,7T9K_2
6M0J_1_rpk_cons_om,6M0J_1,rpk,cons,om,WT,0.78,1.26,1.26
7BH9_1_rpk_cons_om,7BH9_1,rpk,cons,om,Evolved,1.40,1.47,1.47
7EKC_1_rpk_cons_om,7EKC_1,rpk,cons,om,Gamma,0.96,1.58,1.58
7EKF_1_rpk_cons_om,7EKF_1,rpk,cons,om,Alpha,1.07,1.29,1.29
7EKG_1_rpk_cons_om,7EKG_1,rpk,cons,om,Beta,0.94,1.43,1.44
7NXC_1_rpk_cons_om,7NXC_1,rpk,cons,om,P1,1.03,0.90,0.91
7V89_1_rpk_cons_om,7V89_1,rpk,cons,om,Delta,0.95,2.39,2.41
7V89_2_rpk_cons_om,7V89_2,rpk,cons,om,Delta,1.33,2.85,2.80
7V89_3_rpk_cons_om,7V89_3,rpk,cons,om,Delta,0.96,1.76,1.74
6M0J_1_rpk_free_om,6M0J_1,rpk,free,om,WT,0.92,1.23,1.22
7BH9_1_rpk_free_om,7BH9_1,rpk,free,om,Evolved,1.37,1.43,1.43
7EKC_1_rpk_free_om,7EKC_1,rpk,free,om,Gamma,1.05,1.58,1.58
7EKF_1_rpk_free_om,7EKF_1,rpk,free,om,Alpha,1.19,1.41,1.42
7EKG_1_rpk_free_om,7EKG_1,rpk,free,om,Beta,1.15,1.50,1.51
7NXC_1_rpk_free_om,7NXC_1,rpk,free,om,P1,1.20,0.92,0.92
7V89_1_rpk_free_om,7V89_1,rpk,free,om,Delta,1.05,2.16,2.15
7V89_2_rpk_free_om,7V89_2,rpk,free,om,Delta,1.32,2.78,2.74
7V89_3_rpk_free_om,7V89_3,rpk,free,om,Delta,1.20,1.88,1.85
6M0J_1_af2_cons_om,6M0J_1,af2,cons,om,WT,1.78,3.56,3.59
7BH9_1_af2_cons_om,7BH9_1,af2,cons,om,Evolved,1.68,2.78,2.88
7EKC_1_af2_cons_om,7EKC_1,af2,cons,om,Gamma,1.67,3.46,3.39
7EKF_1_af2_cons_om,7EKF_1,af2,cons,om,Alpha,1.74,3.10,3.12
7EKG_1_af2_cons_om,7EKG_1,af2,cons,om,Beta,1.69,3.58,3.61
7NXC_1_af2_cons_om,7NXC_1,af2,cons,om,P1,1.66,2.46,2.47
7V89_1_af2_cons_om,7V89_1,af2,cons,om,Delta,1.57,2.94,2.61
7V89_2_af2_cons_om,7V89_2,af2,cons,om,Delta,1.58,2.73,2.74
7V89_3_af2_cons_om,7V89_3,af2,cons,om,Delta,1.54,2.33,2.39
6M0J_1_af2_free_om,6M0J_1,af2,free,om,WT,1.69,2.91,2.93
7BH9_1_af2_free_om,7BH9_1,af2,free,om,Evolved,1.68,2.84,2.86
7EKC_1_af2_free_om,7EKC_1,af2,free,om,Gamma,1.65,3.30,3.33
7EKF_1_af2_free_om,7EKF_1,af2,free,om,Alpha,1.69,3.02,3.05
7EKG_1_af2_free_om,7EKG_1,af2,free,om,Beta,1.62,4.33,4.16
7NXC_1_af2_free_om,7NXC_1,af2,free,om,P1,1.62,2.28,2.29
7V89_1_af2_free_om,7V89_1,af2,free,om,Delta,1.56,2.79,2.80
7V89_2_af2_free_om,7V89_2,af2,free,om,Delta,1.62,3.01,3.01
7V89_3_af2_free_om,7V89_3,af2,free,om,Delta,1.61,2.27,2.26
